0,1,2,3,4,5,6,7
0.07247622,0.10501236,1.1617082,0.54127073,0.36688957,0.766125,-0.48787054,0.21768847
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.06860091,0.1027961,1.1818199,0.49121767,0.34682012,0.72996,-0.5037896,0.21193345
0.08611694,0.115477584,1.1929672,0.54774255,0.38223925,0.7657157,-0.5110875,0.1938628
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.05901255,0.10870211,1.2109033,0.5053592,0.3849097,0.7712354,-0.50886023,0.21604696
0.082783334,0.07839417,1.1518005,0.5184019,0.35416454,0.7102314,-0.47872686,0.20789413
0.06860091,0.1027961,1.1818199,0.49121767,0.34682012,0.72996,-0.5037896,0.21193345
0.082783334,0.07839417,1.1518005,0.5184019,0.35416454,0.7102314,-0.47872686,0.20789413
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.10941193,0.15659903,1.2326508,0.5553181,0.367129,0.7795553,-0.53101194,0.14475459
0.052022565,0.09519049,1.1849685,0.5078326,0.38184646,0.7670261,-0.4945766,0.23455401
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.066565655,0.1314259,1.185865,0.5117726,0.37407807,0.7723035,-0.5187339,0.2004357
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.05901255,0.10870211,1.2109033,0.5053592,0.3849097,0.7712354,-0.50886023,0.21604696
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.05901255,0.10870211,1.2109033,0.5053592,0.3849097,0.7712354,-0.50886023,0.21604696
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08611694,0.115477584,1.1929672,0.54774255,0.38223925,0.7657157,-0.5110875,0.1938628
0.10814174,0.17871048,1.1896565,0.55244845,0.35532683,0.77907753,-0.5402845,0.1391608
0.08611694,0.115477584,1.1929672,0.54774255,0.38223925,0.7657157,-0.5110875,0.1938628
0.052022565,0.09519049,1.1849685,0.5078326,0.38184646,0.7670261,-0.4945766,0.23455401
0.06860091,0.1027961,1.1818199,0.49121767,0.34682012,0.72996,-0.5037896,0.21193345
0.05901255,0.10870211,1.2109033,0.5053592,0.3849097,0.7712354,-0.50886023,0.21604696
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.05222003,0.09397725,1.1718063,0.49608338,0.36184922,0.7565938,-0.49284384,0.24532494
0.075155556,0.11301741,1.1696477,0.517971,0.34527215,0.7558732,-0.4985809,0.21943809
0.052022565,0.09519049,1.1849685,0.5078326,0.38184646,0.7670261,-0.4945766,0.23455401
0.05901255,0.10870211,1.2109033,0.5053592,0.3849097,0.7712354,-0.50886023,0.21604696
0.05901255,0.10870211,1.2109033,0.5053592,0.3849097,0.7712354,-0.50886023,0.21604696
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.05677309,0.093014486,1.1887715,0.514222,0.39062247,0.7637271,-0.50095755,0.230755
0.052022565,0.09519049,1.1849685,0.5078326,0.38184646,0.7670261,-0.4945766,0.23455401
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
0.05901255,0.10870211,1.2109033,0.5053592,0.3849097,0.7712354,-0.50886023,0.21604696
0.054192405,0.10547751,1.1532224,0.5138793,0.37219116,0.7657225,-0.49484003,0.23209909
0.08632712,0.12435736,1.1883117,0.5465385,0.36697936,0.7711614,-0.5040486,0.19033825
